Id;URI;Thesaurus;Instrument Family;Instrument Group;Instrument;Synonyms;URI Wikipedia;Remarks
LEXICON_00002204;http://www.mimo-db.eu/InstrumentsKeywords/2204;Musical instruments;;;;;;
LEXICON_00002205;http://www.mimo-db.eu/InstrumentsKeywords/2205;;Elements of musical instruments;;;;;
LEXICON_00002206;http://www.mimo-db.eu/InstrumentsKeywords/2206;;;Bows;;;http://en.wikipedia.org/wiki/Bow_(music);
LEXICON_00002207;http://www.mimo-db.eu/InstrumentsKeywords/2207;;;;Bow;;http://en.wikipedia.org/wiki/Bow_(music);
LEXICON_00006067;http://www.mimo-db.eu/InstrumentsKeywords/6067;;;Mouthpieces;;;http://en.wikipedia.org/wiki/Mouthpiece_(brass);
LEXICON_00006073;http://www.mimo-db.eu/InstrumentsKeywords/6073;;;;Mouthpiece;;http://en.wikipedia.org/wiki/Mouthpiece_(brass);
LEXICON_00006068;http://www.mimo-db.eu/InstrumentsKeywords/6068;;;Beaters;;Sticks;http://en.wikipedia.org/wiki/Rute_(music);
LEXICON_00006071;http://www.mimo-db.eu/InstrumentsKeywords/6071;;;;Beater;Stick;http://en.wikipedia.org/wiki/Rute_(music);
LEXICON_00006070;http://www.mimo-db.eu/InstrumentsKeywords/6070;;;Plectra;;;http://en.wikipedia.org/wiki/Plectra;To be checked
LEXICON_00006074;http://www.mimo-db.eu/InstrumentsKeywords/6074;;;;Plectrum;;http://en.wikipedia.org/wiki/Plectrum;
LEXICON_00002208;http://www.mimo-db.eu/InstrumentsKeywords/2208;;Electronic instruments;;;;http://en.wikipedia.org/wiki/Electronic_instrument;
LEXICON_00002209;http://www.mimo-db.eu/InstrumentsKeywords/2209;;;Electronic;;;http://en.wikipedia.org/wiki/Electronic_instrument;
LEXICON_00002210;http://www.mimo-db.eu/InstrumentsKeywords/2210;;;;Beatbox;;http://en.wikipedia.org/wiki/Drum_machine;To be checked
LEXICON_00002211;http://www.mimo-db.eu/InstrumentsKeywords/2211;;;;Clavioline;;http://en.wikipedia.org/wiki/Clavioline;
LEXICON_00002212;http://www.mimo-db.eu/InstrumentsKeywords/2212;;;;Gmebaphone;;;
LEXICON_00002213;http://www.mimo-db.eu/InstrumentsKeywords/2213;;;;Gmebogosse;;;
LEXICON_00002214;http://www.mimo-db.eu/InstrumentsKeywords/2214;;;;Heliophon;;;
LEXICON_00002215;http://www.mimo-db.eu/InstrumentsKeywords/2215;;;;Mellotron;;http://en.wikipedia.org/wiki/Mellotron;
LEXICON_00002216;http://www.mimo-db.eu/InstrumentsKeywords/2216;;;;MIDI instrument;;http://en.wikipedia.org/wiki/MIDI;
LEXICON_00002217;http://www.mimo-db.eu/InstrumentsKeywords/2217;;;;Ondes Martenot;;http://en.wikipedia.org/wiki/Ondes_Martenot;
