Identifier;Level_1;Level_2;Level_3;Synonyms;YOUR LANGUAGE;Synonyms (YOUR LANGUAGE) ;H&S link;Nb of instruments;Définition;Original language;URI_DBPEDIA
LEXICON_00002208;Electronic instruments;;;;;;;0;;;
LEXICON_00002209;;Electronic;;;;;LEXICON_00006180;0;;;
LEXICON_00006617;;;Accord guitar;;;;;0;;;
LEXICON_00006618;;;Accordion-synthesizer;;;;;3;;;
LEXICON_00006619;;;Assemblage of electronic modules;;;;LEXICON_00006185;0;;;
LEXICON_00002210;;;Beatbox;;;;;4;;;
LEXICON_00002211;;;Clavioline;;;;LEXICON_00006169;3;;French;
LEXICON_00005903;;;Croix sonore;Sound cross;;;;1;;;
LEXICON_00002212;;;Gmebaphone;;;;;1;;French;
LEXICON_00002213;;;Gmebogosse;;;;;0;;French;
LEXICON_00002214;;;Heliophon;;;;;0;;;
LEXICON_00002215;;;Mellotron;;;;LEXICON_00006165;2;;;
LEXICON_00006118;;;MIDI guitar;;;;;1;;;
LEXICON_00002216;;;MIDI instrument;;;;;2;;;
LEXICON_00002217;;;Ondes Martenot;;;;LEXICON_00006169;7;;French;
LEXICON_00002219;;;Ondioline;;;;LEXICON_00006169;5;;French;
LEXICON_00002220;;;Pianoline;;;;;0;;;
LEXICON_00002221;;;Sackbut;;;;;0;;;
LEXICON_00002222;;;Sampler;;;;;1;;;
LEXICON_00002223;;;Solovox;;;;;1;;;
LEXICON_00002224;;;Telharmonium;;;;;0;;;
LEXICON_00002225;;;Theremin;;;;LEXICON_00006169;5;;;
LEXICON_00006621;;;Tone-wheel organ;;;;LEXICON_00006162;4;;;
LEXICON_00002226;;;Trautonium;;;;LEXICON_00006169;4;;;
LEXICON_00002227;;;UPIC;;;;;1;;French;
LEXICON_00002229;;;Violin Midi;;;;;0;;;
LEXICON_00004977;;;Vocoder;;;;;1;;;
LEXICON_00002205;Elements of musical instruments;;;;;;;0;;;
LEXICON_00006068;;Beaters;;Sticks;;;;0;;;
LEXICON_00006071;;;Beater;Stick;;;;357;;;
LEXICON_00002206;;Bows;;;;;;0;;;
LEXICON_00002207;;;Bow;;;;;1404;;;
LEXICON_00006067;;Mouthpieces;;;;;;0;;;
LEXICON_00006073;;;Mouthpiece;;;;;1528;;;
LEXICON_00006070;;Plectra;;;;;;0;;;
LEXICON_00006074;;;Plectrum;;;;;15;;;
LEXICON_00002230;Keyboard  instruments;;;;;;;0;;;
LEXICON_00002231;;Clavichords;;;;;;0;;;
LEXICON_00002232;;;Clavichord;;;;LEXICON_00006458;199;;;
LEXICON_00006147;;;Organ clavichord;;;;;1;;;
LEXICON_00002239;;Harpsichords;;;;;;0;;;
LEXICON_00002240;;;Arpicordo;;;;;0;;;
LEXICON_00002241;;;Clavecin brisé;Portable harpsichord;;;LEXICON_00006461;2;;French;
LEXICON_00002243;;;Clavecin oculaire;;;;;0;;French;
LEXICON_00002244;;;Clavicytherium;;;;;10;;;
LEXICON_00002246;;;Claviorgan;Claviorganum;;;;20;;;
LEXICON_00002249;;;Digital harpsichord;;;;;0;;;
