Niveau_0;Niveau_1;Niveau_2;Niveau_3;Niveau_4;Niveau_5;Niveau_6;Niveau_7;Niveau_8;Niveau_9;"Identifiant";"Type";"Microthésaurus";"Statut";"Définition";"Note d'application";"Synonymes";"Relatifs";"Fiches associées";"CIMU_ID";"LANGUE_ORIGINE";"H&S_Label";"URI_DBPEDIA";
"Hornbostel - Sachs";;;;;;;;;;"LEXICON_00000000";"MT";"Hornbostel - Sachs";"Standard";"";"";"";"";"0";"1";"";"Hornbostel - Sachs";;
;"1 Idiophones";;;;;;;;;"LEXICON_00000001";"NT";"Hornbostel - Sachs";"Standard";"The substance of the instrument itself, owing to its solidity and elasticity, vibrates and may radiate sound without requiring stretched membranes or strings.";"";"";"";"0";"1";;"Idiophones";;
;;"11 Struck idiophones";;;;;;;;"LEXICON_00000002";"NT";"Hornbostel - Sachs";"Standard";"The substance of the instrument itself, owing to its solidity and elasticity, vibrates and may radiate sound without requiring stretched membranes or strings. The instrument is made to vibrate by being struck.";"";"";"LEXICON_00006686;LEXICON_00004813;LEXICON_00003100";"81";"11";"";"Struck idiophones";"";
;;;"111 Idiophones struck directly";;;;;;;"LEXICON_00000003";"NT";"Hornbostel - Sachs";"Standard";"The substance of the instrument itself, owing to its solidity and elasticity, vibrates and may radiate sound without requiring stretched membranes or strings. The instrument is made to vibrate by being struck. The player executes the movement of striking; whether by mechanical intermediate devices, beaters, keyboards, or by pulling ropes, etc., is immaterial; it is definitive that the player can apply clearly defined individual strokes and that the instrument itself is equipped for this kind of percussion.";"";"";"LEXICON_00005298;LEXICON_00002998;LEXICON_00003007";"5";"111";"";"Idiophones struck directly";;
;;;;"111.1 Concussion idiophones or clappers";;;;;;"LEXICON_00000004";"NT";"Hornbostel - Sachs";"Standard";"The substance of the instrument itself, owing to its solidity and elasticity, vibrates and radiates sound when struck. The player strikes together two or more complementary sonorous parts to create clearly defined individual strokes.";"";"";"LEXICON_00002421;LEXICON_00002424;LEXICON_00008324;LEXICON_00002444";"29";"111.1";"";"Concussion idiophones or clappers";"";
;;;;;"111.11 Concussion sticks or stick clappers";;;;;"LEXICON_00000005";"NT";"Hornbostel - Sachs";"Standard";"The substance of the instrument itself, owing to its solidity and elasticity, vibrates and radiates sound when struck. The player strikes together two or more sonorous sticks; to create clearly defined individual strokes. Annam, India, Marshall Islands.";"";"";"LEXICON_00002425;LEXICON_00002989;LEXICON_00005225;LEXICON_00002429;LEXICON_00002430;LEXICON_00004885;LEXICON_00006322";"81";"111.11";;"Concussion sticks or stick clappers";;
;;;;;"111.12 Concussion plaques or plaque clappers";;;;;"LEXICON_00000006";"NT";"Hornbostel - Sachs";"Standard";"The substance of the instrument itself, owing to its solidity and elasticity, vibrates and radiates sound when struck. The player strikes together two or more sonorous plaques to create clearly defined individual strokes. China, India.";"";"";"LEXICON_00006267;LEXICON_00006636;LEXICON_00004661;LEXICON_00004851;LEXICON_00002426;LEXICON_00005342;LEXICON_00002436";"365";"111.12";;"Concussion plaques or plaque clappers";;
;;;;;"111.13 Concussion troughs or trough clappers";;;;;"LEXICON_00000007";"NT";"Hornbostel - Sachs";"Standard";"The substance of the instrument itself, owing to its solidity and elasticity, vibrates and radiates sound when struck. The player strikes together two or more sonorous plaques to create clearly defined individual strokes. Burma.";"";"";"LEXICON_00005149;LEXICON_00005317;LEXICON_00005386";"7";"111.13";;"Concussion troughs or trough clappers";;
;;;;;"111.14 Concussion vessels or vessel clappers";;;;;"LEXICON_00000008";"NT";"Hornbostel - Sachs";"Standard";"The substance of the instrument itself, owing to its solidity and elasticity, vibrates and radiates sound when struck. The player strikes together two or more sonorous vessels to create clearly defined individual strokes. Even a slight hollow in the surface of a board counts as a vessel.";"";"";"LEXICON_00002471;LEXICON_00005513;LEXICON_00006787";"447";"111.14";"";"Concussion vessels or vessel clappers";;
;;;;;;"111.141 Castanets";;;;"LEXICON_00000009";"NT";"Hornbostel - Sachs";"Standard";"The substance of the instrument itself, owing to its solidity and elasticity, vibrates and radiates sound when struck. The player strikes together two or more sonorous vessel clappers to create clearly defined individual strokes. The clappers are either naturally or artificially hollowed out.";"";"";"LEXICON_00002420;LEXICON_00002423;LEXICON_00004662;LEXICON_00006786;LEXICON_00004663;LEXICON_00005367";"276";"111.141";"";"Castanets";;
;;;;;;"111.142 Cymbals";;;;"LEXICON_00000010";"NT";"Hornbostel - Sachs";"Standard";"The substance of the instrument itself, owing to its solidity and elasticity, vibrates and radiates sound when struck. Cymbals are metal vessel clappers with everted rims, struck together by the player to create clearly defined individual strokes.";"";"";"LEXICON_00005424;LEXICON_00002452;LEXICON_00002454;LEXICON_00002460;LEXICON_00002467;LEXICON_00002469;LEXICON_00002451;LEXICON_00002471;LEXICON_00005242;LEXICON_00002475;LEXICON_00002476;LEXICON_00005506;LEXICON_00004880;LEXICON_00006681;LEXICON_00005334;LEXICON_00002480;LEXICON_00005351;LEXICON_00002488;LEXICON_00002489;LEXICON_00005366;LEXICON_00005384;LEXICON_00005639";"71";"111.142";;"Cymbals";;
